adjective;A;E;C;N;O
vindictive;-0.29;0.03;0.05;0.11;-0.28
suspicious;-0.29;-0.18;0.05;0.24;-0.04
devious;-0.29;0.16;-0.1;0.09;-0.11
thoughtless;-0.29;-0.07;-0.26;-0.09;0
ungracious;-0.29;-0.16;-0.19;-0.15;0.01
precjudiced;-0.28;-0.01;-0.03;0.07;-0.08
uncouth;-0.28;0.02;-0.2;-0.18;-0.08
tactless;-0.27;-0.01;-0.21;-0.06;-0.15
manipulative;-0.27;0.16;0.08;0.13;0.02
cunning;-0.27;0.22;0.09;-0.06;0.02
opinionated;-0.26;0.22;0.07;0.11;0.03
unruly;-0.26;0.22;-0.25;-0.07;-0.02
rigid;-0.26;-0.11;0.24;0.01;-0.18
obstinate;-0.26;0.03;-0.05;0.24;0.09
stingy;-0.25;-0.13;0.04;0.22;0.01
nonreligious;-0.25;-0.08;-0.16;-0.17;0.19
smug;-0.24;0.01;0.01;0.1;-0.01
skeptical;-0.24;-0.23;0.03;0.11;0.22
vain;-0.23;0.05;-0.13;0.21;0.16
irreverent;-0.18;-0.05;0.06;-0.11;0.09
crafty;-0.16;0.11;0.04;-0.1;-0.04
masochistic;-0.11;-0.08;-0.14;-0.01;-0.08
self-seeking;-0.14;0.05;-0.06;0.07;0.08
extroverted;0.06;0.64;-0.07;-0.01;0.07
talkative;0.09;0.62;-0.15;0.13;-0.07
aggressive;-0.3;0.61;0.09;0;0.02
sociable;0.27;0.59;-0.01;-0.04;-0.07
social;0.25;0.58;-0.04;0;-0.08
assertive;-0.15;0.53;0.15;-0.08;0.14
bold;-0.18;0.53;0.03;-0.19;0.05
verbal;-0.03;0.53;-0.08;0.05;0.11
enthusiastic;0.29;0.5;0.02;-0.03;-0.01
spirited;0.23;0.49;-0.01;-0.02;0.1
confident;-0.07;0.49;0.26;-0.32;0.1
communicative;0.25;0.49;0.04;-0.02;0.1
magnetic;0.22;0.48;-0.02;-0.05;0.17
energetic;0.16;0.48;0.12;-0.13;0.02
daring;-0.14;0.46;0;-0.2;0.02
rambunctious;0;0.46;-0.15;0.06;-0.04
outspoken;-0.14;0.45;-0.09;-0.03;0.21
vivacious;0.31;0.44;0;0.03;0.1
dominant;-0.36;0.44;0.2;0.05;0.09
merry;0.38;0.44;-0.02;-0.15;-0.09
unrestrained;-0.01;0.43;-0.17;-0.1;-0.02
active;0.11;0.43;0.15;-0.14;0.02
boisterous;-0.15;0.42;-0.15;-0.01;-0.07
assured;0.01;0.42;0.23;-0.31;0.12
uninhibited;-0.06;0.42;-0.16;-0.2;0.2
playful;0.2;0.41;-0.12;-0.02;-0.09
happy-go-lucky;0.21;0.4;-0.21;-0.22;-0.21
vigorous;0.04;0.4;0.05;-0.15;0.12
friendly;0.37;0.39;-0.03;-0.17;-0.16
flamboyant;-0.04;0.39;-0.1;0.08;0.01
adventurous;0;0.38;-0.04;-0.19;0.1
expressive;0.12;0.38;0.06;0.14;0.22
forceful;-0.34;0.38;0.15;-0.01;0.11
carefree;0.18;0.37;-0.22;-0.22;-0.12
flirtatious;0.03;0.36;-0.15;0.2;0
competitive;-0.25;0.34;0.19;-0.03;-0.11
mischievous;-0.1;0.34;-0.19;0.02;0.14
direct;-0.07;0.33;0.14;-0.13;0.22
spontaneous;0.09;0.33;-0.11;-0.04;0.25
zealous;0.2;0.32;-0.03;0;0.08
gregarious;0.07;0.32;-0.1;0.03;0.07
exhibitionistic;-0.2;0.32;-0.17;0.06;0.05
straightforward;-0.02;0.31;0.1;-0.19;0.19
humorous;0.15;0.31;-0.09;-0.13;0.01
frank;-0.08;0.31;0.02;-0.09;0.22
opportunistic;-0.09;0.3;0.16;-0.04;0.01
demonstrative;0.03;0.29;-0.07;0.01;0.15
enterprising;-0.04;0.28;0.21;-0.19;0.27
sexy;-0.06;0.28;-0.01;0.07;0.17
hearty;0.11;0.28;0.07;-0.24;0.02
wordy;0;0.26;-0.09;0.17;0.04
